id	crop_file	xmin	ymin	xmax	ymax	text	suggested_text	prediction_score	prob	source_image
0	word_000.jpg	67	27	219	71	Modlitwa	Jls LLdve	0.000000	0.091986	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
1	word_001.jpg	238	40	408	72	wychowawcy	Hqalo +a.04	0.000000	0.053102	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
2	word_002.jpg	33	99	69	119	Nie	JY~	0.000000	0.254483	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
3	word_003.jpg	70	97	126	123	niosę	M6 34	0.000000	0.237604	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
4	word_004.jpg	139	97	161	117	Ci	6	0.000000	0.500963	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
5	word_005.jpg	175	90	258	119	modłów	Mo	0.000000	0.907025	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
6	word_006.jpg	270	90	357	126	długich	MurJ	0.000000	0.334614	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
7	word_007.jpg	371	99	388	121	o	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
8	word_008.jpg	390	90	455	123	Boże	YS,u	0.000000	0.090369	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
9	word_009.jpg	473	91	515	129	Nie	Jki	0.000000	0.111020	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
10	word_010.jpg	518	93	554	128	śle	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
11	word_011.jpg	36	126	171	154	westchnień	1)	0.000000	0.450101	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
12	word_012.jpg	182	121	289	163	licznych	&i-Lny	0.000000	0.194430	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
13	word_013.jpg	326	126	374	158	Nie	a	0.000000	0.663750	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
14	word_014.jpg	379	125	442	162	bije	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
15	word_015.jpg	450	130	544	154	niskich	MA 111 Ju	0.000000	0.217248	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
16	word_016.jpg	38	149	153	192	pokłonów	afou8j	0.000000	0.136827	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
17	word_017.jpg	170	158	219	187	nie	ui	0.000000	0.474741	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
18	word_018.jpg	232	162	346	188	składam	Mlfalam	0.000000	0.195305	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
19	word_019.jpg	367	158	458	199	ofiary	^ao %raj	0.000000	0.037414	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
20	word_020.jpg	464	159	558	198	bogatej	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
21	word_021.jpg	43	199	79	217	Ku	Ku	0.000000	0.852436	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
22	word_022.jpg	88	196	140	220	czci	U:	0.000000	0.500081	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
23	word_023.jpg	154	188	218	231	Twej	Ir	0.000000	0.179760	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
24	word_024.jpg	227	195	247	219	i	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
25	word_025.jpg	256	196	340	220	chwale	elnile	0.000000	0.285258	C:\Users\Adi\Desktop\Listy\Korczak\Korczak.jpg
