id	crop_file	xmin	ymin	xmax	ymax	text	suggested_text	prediction_score	prob	source_image
0	word_000.png	265	395	613	606	Trochę	Trochę	1.000000	0.137460	C:\Users\Adi\Desktop\Listy\Osiecka\Osiecka3.jpg
1	word_001.png	624	392	1328	621	poważniejsze	poważniejsze	1.000000	0.049895	C:\Users\Adi\Desktop\Listy\Osiecka\Osiecka3.jpg
2	word_002.png	379	606	894	816	kawałki	kawałki	1.000000	0.307914	C:\Users\Adi\Desktop\Listy\Osiecka\Osiecka3.jpg
3	word_003.png	177	1761	522	1946	Uwaga	Uwaga	1.000000	0.132995	C:\Users\Adi\Desktop\Listy\Osiecka\Osiecka3.jpg
4	word_004.png	559	1668	697	1827	w	tym	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Osiecka\Osiecka3.jpg
5	word_005.png	621	1775	1081	1975	chronologii	chronologii	1.000000	0.209629	C:\Users\Adi\Desktop\Listy\Osiecka\Osiecka3.jpg
6	word_006.png	712	1635	899	1814	tym	nie	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Osiecka\Osiecka3.jpg
7	word_007.png	928	1622	1107	1741	nie	Uwaga	1.000000	0.232544	C:\Users\Adi\Desktop\Listy\Osiecka\Osiecka3.jpg
8	word_008.png	1125	1539	1320	1676	ma	W	1.000000	0.786620	C:\Users\Adi\Desktop\Listy\Osiecka\Osiecka3.jpg
9	word_009.png	1138	1655	1557	1809	rozumiesz	ma	1.000000	0.087598	C:\Users\Adi\Desktop\Listy\Osiecka\Osiecka3.jpg
10	word_010.png	213	1908	608	2147	żądnej	żądnej	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Osiecka\Osiecka3.jpg
