id	crop_file	xmin	ymin	xmax	ymax	text	suggested_text	prediction_score	prob	source_image
0	word_000.png	185	17	284	48	Warszawa	Wanuaa	0.000000	0.159287	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
1	word_001.png	278	13	341	48	d. 25/III 1904 r.	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
2	word_002.png	60	55	204	113	Szanowny	{Gusaum	0.000000	0.145303	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
3	word_003.png	204	67	289	110	Panie	amt	0.000000	0.112078	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
4	word_004.png	32	127	162	176	Pozwalam	(smeleen	0.000000	0.177080	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
5	word_005.png	162	149	215	173	sobie	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
6	word_006.png	221	142	295	175	prosić	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
7	word_007.png	38	173	156	204	Szanownego	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
8	word_008.png	160	171	222	203	Pana	Ianz	0.000000	0.183456	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
9	word_009.png	228	174	245	196	o	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
10	word_010.png	249	170	341	200	łaskawe	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
11	word_011.png	32	196	185	228	objaśnienie	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
12	word_012.png	197	200	243	229	czy	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
13	word_013.png	242	197	270	223	to	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
14	word_014.png	275	193	325	228	Pan	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
15	word_015.png	30	221	101	253	kupił	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
16	word_016.png	102	230	137	254	w	1o	0.000000	0.139143	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
17	word_017.png	142	220	226	256	Salonie	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
18	word_018.png	236	223	349	254	Antywarycznym	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
19	word_019.png	28	252	60	284	w	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
20	word_020.png	62	248	186	280	Warszawie	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
21	word_021.png	220	247	283	278	Nowy	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
22	word_022.png	284	249	339	278	Świat	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
23	word_023.png	39	276	135	312	obrazek	Llaazel	0.000000	0.204449	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
24	word_024.png	143	269	239	310	Marji	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
25	word_025.png	245	274	348	306	Dublębianki	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
26	word_026.png	38	301	102	338	zdaje	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
27	word_027.png	102	304	139	337	się	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
28	word_028.png	143	302	232	339	główkę	Larhe	0.000000	0.092840	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
29	word_029.png	231	301	344	333	niemowlęcia	'2cu{e(	0.000000	0.065603	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
30	word_030.png	39	333	91	362	oraz	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
31	word_031.png	90	336	111	359	w	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
32	word_032.png	108	332	138	360	w	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
33	word_033.png	135	331	220	359	jakim	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
34	word_034.png	224	327	332	357	mniej	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
35	word_035.png	48	357	129	388	więcej	lniae;	0.000000	0.229774	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
36	word_036.png	130	356	211	385	czasie	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
37	word_037.png	222	357	243	380	i	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
38	word_038.png	241	351	274	379	za	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
39	word_039.png	274	344	316	384	jaką	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
40	word_040.png	316	350	349	385	cenę	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
41	word_041.png	36	376	69	416	O	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
42	word_042.png	71	385	217	416	objaśnienia	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
43	word_043.png	216	380	254	413	te	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
44	word_044.png	259	383	343	416	proszę	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
45	word_045.png	167	410	199	439	w	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
46	word_046.png	198	412	342	441	interesie	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
47	word_047.png	29	439	65	479	p	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
48	word_048.png	72	436	222	478	Dublębianki	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
49	word_049.png	228	439	247	467	i	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
50	word_050.png	248	442	342	474	proszona	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Konopnicka\Konopnicka.jpg
