id	crop_file	xmin	ymin	xmax	ymax	text	suggested_text	prediction_score	prob	source_image
0	word_000.png	112	69	204	123	Do	o	0.000000	0.652449	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
1	word_001.png	211	68	435	124	Postępowej	Poatspouei	0.000000	0.397711	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
2	word_002.png	444	55	637	116	Ludzkości	dudhosai .	0.000000	0.220896	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
3	word_003.png	323	124	559	173	Niniejszym	Mlinieiyur	0.000000	0.296469	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
4	word_004.png	567	113	693	169	oświad	usuad_	0.000000	0.261147	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
5	word_005.png	120	168	241	203	czam	(yWm	0.000000	0.030963	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
6	word_006.png	247	172	301	208	że	ie	0.000000	0.123082	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
7	word_007.png	309	165	432	209	jestem	jtem	0.000000	0.606822	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
8	word_008.png	432	161	545	204	ostro	Ccsero	0.000000	0.098906	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
9	word_009.png	559	165	699	209	przeciw	pixciu	0.000000	0.224274	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
10	word_010.png	132	204	195	248	A	(A .	0.000000	0.328291	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
11	word_011.png	201	197	396	249	Hitlerowi	Hitlgroui'	0.000000	0.460829	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
12	word_012.png	391	195	429	240	i	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
13	word_013.png	424	201	515	255	jego	8ao	0.000000	0.244020	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
14	word_014.png	512	191	632	241	klice	KcsJice.	0.000000	0.164615	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
15	word_015.png	312	241	511	292	Uważam	Aloam	0.000000	0.844571	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
16	word_016.png	527	244	577	291	że	Ke	0.000000	0.116032	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
17	word_017.png	576	240	631	287	A	cA	0.000000	0.666151	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
18	word_018.png	632	241	691	284	Hi	Hi_	0.000000	0.365002	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
19	word_019.png	137	283	216	336	tler	Łler	0.000000	0.784086	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
20	word_020.png	219	284	301	331	był	ht	0.000000	0.395671	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
21	word_021.png	307	288	373	348	zły	4y	0.000000	0.118669	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
22	word_022.png	380	285	411	329	i	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
23	word_023.png	409	279	595	339	potępiam	pal;piam	0.000000	0.119648	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
24	word_024.png	596	280	691	327	kate	kal _	0.000000	0.248070	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
25	word_025.png	136	321	332	389	gorycznie	Yprcunie	0.000000	0.396265	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
26	word_026.png	312	368	488	416	Również	Boumniet	0.000000	0.211998	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
27	word_027.png	480	363	612	419	jestem	jeoIm	0.000000	0.634895	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
28	word_028.png	612	361	685	411	prze	@ixe	0.000000	0.314447	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
29	word_029.png	129	408	263	460	ciwko	Auko	0.000000	0.185461	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Mrozek\Mrozek3.jpg
