id	crop_file	xmin	ymin	xmax	ymax	text	suggested_text	prediction_score	prob	source_image
0	word_000.png	87	131	322	259	Był	B w	0.000000	0.584032	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
1	word_001.png	328	135	652	261	kucharz	Gucl	0.000000	0.119791	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
2	word_002.png	711	145	1231	258	restaurator	LsTalcausoy	0.000000	0.034138	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
3	word_003.png	1249	164	1349	253	z	2	0.000000	0.999888	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
4	word_004.png	1370	163	1577	285	tych	ty( <k,	0.000000	0.149679	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
5	word_005.png	77	263	313	378	wróg	Wri9	0.000000	0.112506	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
6	word_006.png	321	266	523	366	dań	Lv;	0.000000	0.127978	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
7	word_007.png	525	268	884	379	domowych	Ploa0yeu	0.000000	0.021415	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
8	word_008.png	931	260	1192	388	zwykle	2 Mll	0.000000	0.193882	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
9	word_009.png	1224	293	1513	398	mdłych	M Ufye6	0.000000	0.256038	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
10	word_010.png	96	390	314	506	Gdzie	6li	0.000000	0.166051	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
11	word_011.png	354	394	599	495	mógł	4 8+	0.000000	0.143371	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
12	word_012.png	626	415	705	498	w	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
13	word_013.png	717	403	1061	530	Kościelcu	ufee(ee,	0.000000	0.081686	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
14	word_014.png	1078	412	1344	558	Mielcu	Ae(ce	0.000000	0.108912	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
15	word_015.png	1370	434	1710	583	Kielcach	4c4 , Vic(c~	0.000000	0.145770	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
16	word_016.png	96	543	465	625	skupował	9 Lavsw	0.000000	0.330189	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
17	word_017.png	490	532	836	639	sznurki	szmucle'	0.000000	0.072598	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
18	word_018.png	844	562	970	638	po	1e	0.000000	0.057206	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
19	word_019.png	988	561	1336	667	wisielcach	412( Cncz	0.000000	0.061902	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
20	word_020.png	106	668	381	745	potem	Veu M	0.000000	0.313800	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
21	word_021.png	432	668	897	760	spaghetti	c1 +96e776	0.000000	0.052911	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
22	word_022.png	955	682	1159	768	robił	~l;J	0.000000	0.378481	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
23	word_023.png	1185	701	1270	762	z	2	0.000000	0.999307	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
24	word_024.png	1283	693	1504	788	nich	4'el	0.000000	0.369319	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
25	word_025.png	1152	856	1316	960	W	W	0.000000	0.539456	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
26	word_026.png	1350	861	1430	962	S	S	0.000000	0.262875	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Szymborska\Szymborska2.jpg
