id	crop_file	xmin	ymin	xmax	ymax	text	suggested_text	prediction_score	prob	source_image
0	word_000.png	203	49	375	109	Stygmat	Stygmat	1.000000	0.481431	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
1	word_001.png	39	89	174	149	Podobno	Podobno	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
2	word_002.png	188	114	234	151	że	że	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
3	word_003.png	412	116	594	161	najniewinniejszem	zadań	1.000000	0.008672	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
4	word_004.png	56	148	109	195	Ze	czynności	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
5	word_005.png	114	152	198	190	zadań	[manual]	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
6	word_006.png	209	155	347	191	czynności	0uec < <l	0.666667	0.083897	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
7	word_007.png	288	183	408	199	zadaniem	[manual]	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
8	word_008.png	359	150	485	181	człowieka	[manual]	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
9	word_009.png	39	194	65	220	i	[manual]	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
10	word_010.png	72	192	222	231	najpiękniejszej	n4y]	1.000000	0.058852	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
11	word_011.png	240	190	281	222	szej	Lea	1.000000	0.655111	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
12	word_012.png	309	198	348	224	a	[manual]	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
13	word_013.png	351	195	455	223	pewno	he v	1.000000	0.190891	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
14	word_014.png	461	184	507	215	że	[manual]	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
15	word_015.png	513	188	571	221	naj	[manual]	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
16	word_016.png	76	232	241	255	ciekawszem	6'ekawj129	1.000000	0.111714	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
17	word_017.png	252	230	286	252	w	[manual]	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
18	word_018.png	295	226	433	252	znaczeniu	Zu Ell2e 41	0.666667	0.077704	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
19	word_019.png	436	229	458	249	s	[manual]	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
20	word_020.png	457	225	573	250	wojem	4OL+	1.000000	0.181406	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
21	word_021.png	67	256	132	292	jest	[manual]	1.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid.png
