word_000 Drogi
word_001 Panie
word_002 Zygmuncie
word_003 myślę
word_004 że
word_005 wszystko
word_006 Panu
word_007 wyłuszczyłem
word_008 i
word_009 mamy
word_010 tę
word_011 samą
word_012 pewność
word_013 Powieści
word_014 jedwabne
word_015 przesadą
word_016 pomogły
word_017 mi
word_018 w
word_019 tym
word_020 rozważania
word_021 są
word_022 treścią
word_023 moich
word_024 humoreskowych
word_025 chwytów
word_026 i
word_027 słyszał
word_028 Pan
word_029 mowę
word_030 własną
word_031 jedwabności
word_032 czy
word_033 pisany
word_034 pod
word_035 adresem
word_036 jakichś
word_037 sprawnych
word_038 ludzi
word_039 którym
word_040 to
word_041 wypowiedziałem
word_042 tylko
word_043 raz
word_044 w
word_045 intonacji
word_046 własnej
word_047 szeptem
word_048 pewnym
word_049 Jakiś
word_050 potrzebuję
word_051 tego
word_052 do
word_053 mego
word_054 dialektycznego
word_055 oddechu
word_056 Oddech
word_057 ten
word_058 wykształca
word_059 się
word_060 w
word_061 wieku
word_062 sędziwym
word_063 zawsze
word_064 coś
word_065 na
word_066 tym
word_067 skorzystacie
word_068 Myślę
word_069 że
word_070 Słowacki
word_071 lepszy
word_072 jednak
word_073 niż
word_074 Balzac
word_075 Myślę
word_076 też
word_077 że
word_078 polska
word_079 poezja
word_080 istnieje
word_081 tylko
word_082 że
word_083 w
word_084 ciągu
word_085 ostatnich
word_086 lat
word_087 zaczęła
word_088 istnieć
word_089 dla
word_090 mnie
word_091 za
word_092 bardzo
word_093 pod
word_094 wpływem
word_095 wydarzeń
word_096 zanadto
word_097 gwałtownych
word_098 przekonacie
word_099 się
word_100 że
word_101 można
word_102 w
word_103 niej
word_104 być
word_105 zmieszanym
word_106 a
word_107 powolnym
word_108 Ściskam
word_109 ręce
word_110 wspólne
word_111 serdecznie
word_112 Miłosz
word_113 kłaniam
word_114 Jej
word_115 istnienie
word_116 inne
word_117 jakie
word_118 dla
word_119 poezji
word_120 to
word_121 na
word_122 całkiem
word_123 innym
word_124 planie
